row_id,date,home_team,away_team,home_odds,away_odds,book,which_line
15145,2024-02-11,Miami Heat,Boston Celtics,250.0,-310.0,fanduel,currentLine
15146,2024-02-11,Oklahoma City Thunder,Sacramento Kings,-148.0,116.0,fanduel,currentLine
14412,2023-11-01,Toronto Raptors,Milwaukee Bucks,160.0,-190.0,fanduel,currentLine
14413,2023-11-01,Detroit Pistons,Portland Trail Blazers,-162.0,136.0,fanduel,currentLine
14417,2023-11-01,Miami Heat,Brooklyn Nets,-310.0,230.0,fanduel,currentLine
14418,2023-11-01,Oklahoma City Thunder,New Orleans Pelicans,-154.0,130.0,fanduel,currentLine
14416,2023-11-01,New York Knicks,Cleveland Cavaliers,-225.0,188.0,fanduel,currentLine
14414,2023-11-01,Boston Celtics,Indiana Pacers,-850.0,590.0,fanduel,currentLine
14415,2023-11-01,Atlanta Hawks,Washington Wizards,-430.0,350.0,fanduel,currentLine
14419,2023-11-01,Houston Rockets,Charlotte Hornets,-154.0,130.0,fanduel,currentLine
14420,2023-11-01,Minnesota Timberwolves,Denver Nuggets,114.0,-134.0,fanduel,currentLine
14421,2023-11-01,Dallas Mavericks,Chicago Bulls,-164.0,138.0,fanduel,currentLine
14422,2023-11-01,Utah Jazz,Memphis Grizzlies,-130.0,110.0,fanduel,currentLine
14424,2023-11-01,Los Angeles Lakers,LA Clippers,-144.0,122.0,fanduel,currentLine
14423,2023-11-01,Golden State Warriors,Sacramento Kings,-255.0,210.0,fanduel,currentLine
14425,2023-11-02,Philadelphia 76ers,Toronto Raptors,-295.0,240.0,fanduel,currentLine
14426,2023-11-02,New Orleans Pelicans,Detroit Pistons,-194.0,162.0,fanduel,currentLine
14427,2023-11-02,Utah Jazz,Orlando Magic,102.0,-120.0,fanduel,currentLine
14428,2023-11-02,Phoenix Suns,San Antonio Spurs,-490.0,380.0,fanduel,currentLine
15148,2024-02-12,Charlotte Hornets,Indiana Pacers,420.0,-650.0,fanduel,currentLine
15147,2024-02-12,Cleveland Cavaliers,Philadelphia 76ers,-700.0,440.0,fanduel,currentLine
15150,2024-02-12,Atlanta Hawks,Chicago Bulls,-235.0,180.0,fanduel,currentLine
15149,2024-02-12,Toronto Raptors,San Antonio Spurs,-250.0,205.0,fanduel,currentLine
15151,2024-02-12,Milwaukee Bucks,Denver Nuggets,-118.0,100.0,fanduel,currentLine
15152,2024-02-12,Memphis Grizzlies,New Orleans Pelicans,350.0,-520.0,fanduel,currentLine
15153,2024-02-12,Houston Rockets,New York Knicks,-113.0,-113.0,fanduel,currentLine
15154,2024-02-12,Dallas Mavericks,Washington Wizards,-700.0,500.0,fanduel,currentLine
15155,2024-02-12,Utah Jazz,Golden State Warriors,104.0,-132.0,fanduel,currentLine
15156,2024-02-12,LA Clippers,Minnesota Timberwolves,-235.0,180.0,fanduel,currentLine
726,2024-12-14,Milwaukee Bucks,Atlanta Hawks,-166.0,140.0,fanduel,currentLine
728,2024-12-14,Oklahoma City Thunder,Houston Rockets,-215.0,180.0,fanduel,currentLine
14429,2023-11-03,Indiana Pacers,Cleveland Cavaliers,120.0,-142.0,fanduel,currentLine
14430,2023-11-03,Milwaukee Bucks,New York Knicks,-225.0,188.0,fanduel,currentLine
14431,2023-11-03,Chicago Bulls,Brooklyn Nets,-178.0,150.0,fanduel,currentLine
14432,2023-11-03,Oklahoma City Thunder,Golden State Warriors,205.0,-250.0,fanduel,currentLine
14433,2023-11-03,Miami Heat,Washington Wizards,-405.0,320.0,fanduel,currentLine
14435,2023-11-03,Portland Trail Blazers,Memphis Grizzlies,138.0,-164.0,fanduel,currentLine
14434,2023-11-03,Denver Nuggets,Dallas Mavericks,-265.0,200.0,fanduel,currentLine
15158,2024-02-13,Orlando Magic,Oklahoma City Thunder,124.0,-146.0,fanduel,currentLine
15157,2024-02-13,Brooklyn Nets,Boston Celtics,260.0,-320.0,fanduel,currentLine
15159,2024-02-13,Milwaukee Bucks,Miami Heat,-290.0,235.0,fanduel,currentLine
15161,2024-02-13,Phoenix Suns,Sacramento Kings,-186.0,154.0,fanduel,currentLine
15160,2024-02-13,Portland Trail Blazers,Minnesota Timberwolves,290.0,-360.0,fanduel,currentLine
15162,2024-02-13,Los Angeles Lakers,Detroit Pistons,-800.0,480.0,fanduel,currentLine
729,2024-12-15,Indiana Pacers,New Orleans Pelicans,-270.0,220.0,fanduel,currentLine
732,2024-12-15,Orlando Magic,New York Knicks,156.0,-188.0,fanduel,currentLine
734,2024-12-15,Washington Wizards,Boston Celtics,980.0,-1800.0,fanduel,currentLine
736,2024-12-15,San Antonio Spurs,Minnesota Timberwolves,160.0,-190.0,fanduel,currentLine
737,2024-12-15,Phoenix Suns,Portland Trail Blazers,-590.0,440.0,fanduel,currentLine
740,2024-12-15,Golden State Warriors,Dallas Mavericks,-104.0,-112.0,fanduel,currentLine
741,2024-12-15,Los Angeles Lakers,Memphis Grizzlies,112.0,-132.0,fanduel,currentLine
15164,2024-02-14,Charlotte Hornets,Atlanta Hawks,215.0,-290.0,fanduel,currentLine
15163,2024-02-14,Philadelphia 76ers,Miami Heat,-148.0,116.0,fanduel,currentLine
15165,2024-02-14,Orlando Magic,New York Knicks,-205.0,158.0,fanduel,currentLine
15168,2024-02-14,Cleveland Cavaliers,Chicago Bulls,-430.0,340.0,fanduel,currentLine
15167,2024-02-14,Toronto Raptors,Indiana Pacers,124.0,-146.0,fanduel,currentLine
15166,2024-02-14,Boston Celtics,Brooklyn Nets,-720.0,450.0,fanduel,currentLine
15169,2024-02-14,Memphis Grizzlies,Houston Rockets,-142.0,112.0,fanduel,currentLine
15170,2024-02-14,New Orleans Pelicans,Washington Wizards,-1100.0,600.0,fanduel,currentLine
15171,2024-02-14,Dallas Mavericks,San Antonio Spurs,-850.0,500.0,fanduel,currentLine
15172,2024-02-14,Phoenix Suns,Detroit Pistons,-950.0,640.0,fanduel,currentLine
15174,2024-02-14,Utah Jazz,Los Angeles Lakers,-188.0,158.0,fanduel,currentLine
15173,2024-02-14,Denver Nuggets,Sacramento Kings,-210.0,180.0,fanduel,currentLine
15175,2024-02-14,Golden State Warriors,LA Clippers,-168.0,142.0,fanduel,currentLine
14436,2023-11-04,Philadelphia 76ers,Phoenix Suns,-260.0,215.0,fanduel,currentLine
14437,2023-11-04,Indiana Pacers,Charlotte Hornets,-265.0,200.0,fanduel,currentLine
14439,2023-11-04,Orlando Magic,Los Angeles Lakers,136.0,-162.0,fanduel,currentLine
14438,2023-11-04,New Orleans Pelicans,Atlanta Hawks,-134.0,114.0,fanduel,currentLine
14442,2023-11-04,Houston Rockets,Sacramento Kings,120.0,-142.0,fanduel,currentLine
14440,2023-11-04,Minnesota Timberwolves,Utah Jazz,-320.0,260.0,fanduel,currentLine
14441,2023-11-04,Brooklyn Nets,Boston Celtics,370.0,-480.0,fanduel,currentLine
14443,2023-11-04,Denver Nuggets,Chicago Bulls,-420.0,330.0,fanduel,currentLine
743,2024-12-16,Detroit Pistons,Miami Heat,164.0,-196.0,fanduel,currentLine
745,2024-12-16,Charlotte Hornets,Philadelphia 76ers,116.0,-136.0,fanduel,currentLine
747,2024-12-16,Brooklyn Nets,Cleveland Cavaliers,410.0,-550.0,fanduel,currentLine
